,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
179,9,0.5688,0.11,18.6,1,5.0,0,3.876,691.13,0.0,1.6595265452707724,9.3
180,9,0.5933,0.11,17.6,1,5.0,0,4.698,653.67,0.0,2.1255682224845005,8.8
181,9,0.3511,0.11,16.2,1,5.0,0,3.006,670.96,0.0,2.694466564676278,8.1
182,9,0.5687,0.11,19.1,1,5.0,0,3.675,684.91,0.0,2.054400931089399,9.55
183,9,0.525,0.11,17.5,1,5.0,0,3.959,699.82,0.0,1.9765838904437731,8.75
184,9,0.4492,0.11,17.3,1,5.0,0,2.526,664.53,0.0,1.8325244769472202,8.65
185,9,0.5594,0.11,18.4,1,5.0,0,2.464,615.12,0.0,2.4955009647075066,9.2
186,9,0.5617,0.11,16.3,1,5.0,0,2.989,691.4,0.0,2.167618596811002,8.15
187,9,0.3828,0.11,18.4,1,5.0,0,2.827,651.86,0.0,1.542344357094972,9.2
188,9,0.6768,0.11,18.1,1,5.0,0,4.26,647.34,0.0,1.30862055291888,9.05
189,9,0.3157,0.11,18.1,1,5.0,0,3.135,702.39,0.0,2.9693496730819144,9.05
190,9,0.4397,0.11,19.7,1,5.0,0,3.244,662.72,0.0,1.3585768634894366,9.85
191,9,0.363,0.11,15.6,1,5.0,0,3.287,663.02,0.0,2.0581842816151696,7.8
192,9,0.39,0.11,15.9,1,5.0,0,2.937,687.19,0.0,2.401652057089252,7.95
193,9,0.7696,0.11,19.2,1,5.0,0,4.316,663.89,0.0,2.473552355317224,9.6
194,9,0.5873,0.11,18.5,1,5.0,0,3.92,692.79,0.0,2.429829838039068,9.25
195,9,0.1988,0.11,17.6,1,5.0,0,1.886,661.18,0.0,1.7740826648309573,8.8
196,12,0.4509,0.09,17.8,1,5.0,0,3.428,699.3,0.0,2.509501117911349,8.9
197,12,0.3918,0.09,15.7,1,5.0,0,2.842,688.12,0.1,2.897422568803308,7.85
198,12,0.3549,0.09,17.3,1,5.0,0,2.584,580.65,0.0,1.5168407107825985,8.65
199,12,0.3728,0.09,16.9,1,5.0,0,3.292,712.18,0.0,2.2123070562585756,8.45
200,12,0.3027,0.09,15.5,1,5.0,0,2.534,695.12,0.0,2.8640860096261944,7.75
201,12,0.2474,0.09,17.4,1,5.0,0,1.846,682.53,0.0,1.2366074844089285,8.7
202,12,0.4802,0.09,17.0,1,5.0,0,3.889,684.01,0.0,2.172138651555937,8.5
203,12,0.5158,0.09,17.7,1,5.0,0,3.448,658.14,0.0,3.1358522213856306,8.85
204,12,0.4729,0.09,17.1,1,5.0,0,3.838,623.29,0.0,3.5570834254040693,8.55
205,12,0.4748,0.09,18.0,1,5.0,0,3.367,696.16,0.0,2.435830695994921,9.0
206,12,0.3876,0.09,15.6,1,5.0,0,2.991,713.11,0.0,2.3741046805026347,7.8
207,12,0.569,0.09,16.5,1,5.0,0,2.608,687.36,0.0,2.079093001110146,8.25
208,12,0.6589,0.09,17.2,1,5.0,0,4.109,673.2,0.0,2.3168238476828216,8.6
209,12,0.3348,0.09,15.8,1,5.0,0,3.014,698.37,0.0,2.310843325351588,7.9
210,12,0.4866,0.09,17.3,1,5.0,0,3.265,569.71,0.0,2.208312030367449,8.65
211,12,0.7689,0.09,18.0,1,5.0,0,3.525,732.12,0.0,2.513260435426206,9.0
212,12,0.6142,0.09,16.7,1,5.0,0,4.947,700.39,0.0,1.9761041545720712,8.35
213,12,0.696,0.09,19.0,1,5.0,0,3.659,679.49,0.0,2.505579115399537,9.5
214,12,0.3558,0.09,16.6,1,5.0,0,2.087,639.72,0.0,1.8618761780455166,8.3
215,12,0.5476,0.09,17.1,1,5.0,0,4.276,689.62,0.1,2.9102977922270714,8.55
216,12,0.4463,0.09,16.0,1,5.0,0,3.364,697.06,0.0,1.8409258629547285,8.0
217,12,0.4259,0.09,16.6,1,5.0,0,2.934,611.55,0.0,2.7296601361197674,8.3
218,12,0.5252,0.09,17.8,1,4.5,0,4.604,715.42,0.0,2.109264597619232,8.9
219,12,0.3447,0.09,18.3,1,5.0,0,2.317,630.81,0.0,2.76846605397291,9.15
220,12,0.4479,0.09,16.8,1,5.0,0,2.458,694.39,0.0,2.919276894843084,8.4
221,12,0.6875,0.09,18.1,1,5.0,0,5.04,705.31,0.0,2.307601641917951,9.05
222,12,0.7184,0.09,16.4,1,5.0,0,4.794,728.15,0.0,2.1240689323421114,8.2
223,12,0.3584,0.09,17.3,1,5.0,0,3.425,730.73,0.0,3.065553815769719,8.65
224,3,0.3682,0.15,17.6,1,5.0,0,2.933,500.19,0.2,0.10873458483961189,8.8
225,3,0.5947,0.15,19.0,1,5.0,0,2.656,718.22,0.1,2.542479030617904,9.5
226,3,0.5693,0.15,17.1,1,5.0,0,2.89,530.7,0.0,2.0517110825602045,8.55
